	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
pomacanthus	7602.630109	9534.595634	726.034479	2728.901438	1410.760863	0	1474.198351	2688.576899	0	6564.994732	2034.325465	37768.39777	17977.43504	6279.512521	2223.110941	2016.916336	0	11006.72301	0	5838.713661	19427.76608	9466.183505	6466.107281	0
porichthys	0	14.77689811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122.7023283	0	0
priacanthus	0	0	22.26572434	0	0	0	111.1438882	0	0	4118.993034	0	4021.248369	0	0	0	154.9254267	0	4121.087621	0	0	481.2967764	0	0	0
prognathodes	0	1243.709829	0	0	0	0	70.1346222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.595443067	482.0006166
pseudocaranx	0	0	0	0	0	0	0	0	0	0	0	6750.934766	1902.20872	0	0	0	0	4.418213968	0	0	1396.321711	8640.462343	0	0
pseudupeneus	1834.10371	11646.07767	297.5609693	470.8756243	988.2153001	0	105.4137875	382.479733	91.20509588	4066.946792	1145.361179	3028.842105	673.853127	263.2677021	5613.233492	4639.892922	269.2999671	2376.335436	40.72795336	166.9986305	2169.690159	7833.710648	0	23527.11254
ptereleotris	0	0	0	125.3389877	0	0	0	0	13.43486995	309.0020089	0	0	0	0	0	0	0	10.69499535	0	0	0	2.214289647	0	0
pterois	0	0	85.63230146	0	0	0	1212.284074	0	0	0	0	0	0	0	102.4852091	0	0	0	0	0	0	0	0	0
rachycentron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.96498647	6.192997295	0	0	0	0	0	0
rhomboplites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.1158611	0	0	0	3778.380947	0	0
rypticus	69.27232859	480.6915397	0	381.0037734	0	22.2392557	438.583508	0	294.4781465	781.7427098	0	0	0	103.914459	405.585383	146.4131559	213.1613795	22.2392557	1.931521379	207.8169858	0	0	5080.092041	14795.89985
sardinella	0	0	0	0	0	0	0	0	0	0	0	6897.214962	0	0	0	0	0	0	0	0	0	0	0	0
sargocentron	0	1039.080973	0	0	0	22.2392557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1304.192929
scarideo	764.0060169	0	0	0	0	0	0	0	0	0	24.25278606	0	11.54669043	0	484.7641731	384.9133618	0	0	0	0	0	0	0	0
scartella	2.809046088	115.6442796	0	0	0	0	0	0	0	0	1.404523044	5.618092177	0	0	0	0	0	2.809046088	0	0	0	1045.673238	0	0
scarus	20762.50857	3349.457387	4378.863621	89.83629563	458.5606886	445.943869	27149.66555	3990.84511	0	1.782713091	22.99415397	8414.506562	316.2525633	8882.563853	5370.962823	0	0	25574.786	0	0	4734.388876	117.1157154	0	0
scomberomorus	0	0	0	359.8623315	0	0	0	0	242.6501304	0	0	0	0	0	0	0	0	308.7440205	0	0	0	0	0	0
scorpaena	168.7202974	3209.836367	0	863.2625547	0	0	123.3232221	0	83.08799597	1252.301437	165.5274577	241.3834923	95.80952341	0	83.08799597	0	0	0	0	0	199.6871411	37.65704251	140.2707674	418.8537648
scorpaenodes	0	4.790219977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
selene	0	0	0	719.4202576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seriola	0	0	0	0	0	0	0	0	0	0	0	10242.02005	1090.09949	0	635.6229255	0	809.9026335	464.6752367	0	0	0	7215.151518	0	9731.093782
serranus	8.967239345	2017.619497	52.73399083	167.1820908	0	0	386.283404	233.9149964	1298.904108	387.6014415	336.8741992	441.826054	8.967239345	58.0247555	659.2867732	0	208.3279038	72.18789967	1.494539891	0	2029.714681	1659.682461	0	0
sparisoma	13041.96769	20630.51129	11785.65928	3719.036206	3557.382783	139.5392291	28485.84247	23727.66518	179.5062563	6357.955209	415.6903738	44043.57996	8164.525188	16982.75024	29244.64588	41695.61777	80.94114857	66173.24838	0	31480.56112	4548.252386	12185.6792	0	173227.054
sphoeroides	7.233198736	661.849702	0	0	0	0	0	0	98.59148419	614.1987866	149.6646405	660.7608617	80.83543335	0	24.04510449	0	2.175223074	3.679181996	0	0	210.7907023	8467.082145	0	369.0055213
sphyraena	0	0	488.9166724	0	0	0	214.2422943	388.9372252	1759.516409	1252.136052	0	0	0	11478.05829	4371.381169	2010.599817	0	7841.512205	0	1130.561493	173.3726841	146.0079443	1290.344289	25543.59551
starksia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60287816	0	0
stegastes	3610.184323	62154.27609	2519.406603	595.8140386	15638.62831	114.0023598	31714.87999	8608.408116	1075.897327	9387.14079	2181.654436	17067.72772	1399.681023	436.7607719	4798.349901	2253.753158	349.3115123	5159.688653	110.0850783	25037.10896	3940.29417	34870.33104	32282.1253	14114.85779
stephanolepis	0	59336.76935	0	0	0	0	0	0	215.7077409	0	604.6809486	418.5732318	66.37409775	0	0	0	82.95954542	0	783.0959513	0	0	13356.09475	0	0
strongylura	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724.8480449	0	0	0	0
synodus	83.56215395	781.2399913	0	0	61.2528739	0	353.7843743	0	0	216.1525236	71.81024493	0	386.9494941	0	16.44844188	0	0	0	0	9.548557903	50.69550288	485.3358789	0	24.69835606
thalassoma	0	76.73793548	397.2610445	408.7841151	0	29.77719485	4950.638756	1601.24511	0	197.7109654	0	25.73499653	13.99481137	75.2297159	4036.475465	1990.194515	0	4165.337646	0	35955.17308	25.73499653	2.254626212	0	50803.62699
trachinotus	0	0	0	0	0	0	0	0	0	0	0	0.005539554	1479.081143	0.054607235	0	0	0	0.030672598	0	0	0	0	0	0
upeneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145.5066896	0	0	0	0	0	0	0
urobatis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	832.9242728	0	0	0	0	0	0	0	0	0
xyrichthys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.882577201	0	0	0	0	0	0
