	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
6_c1_4_1	0	0	513.3441716	0	0	87.18488584	0	228.3730608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6_c1_4_2	0	0	0	0	0	0	0	3521.784704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6_c1_4_3	0	0	0	0	0	0	0	0	0	0	0	0.005539554	0	0.054607235	0	166.1787486	0	0.030672598	0	67576.97274	0	0	0	0
6_c1_4_5	6785.112517	59.59837187	474.3023783	1057.038609	0	182.1536702	248.9964354	2046.386459	0	3193.485583	0	375.5205598	108.8113552	1499.595994	4603.76645	842.0789572	0	13909.15509	0	876.8783401	34.16900089	3140.250594	986.607133	2197.525457
6_c2_3_3	0	0	0	0	0	0	0	0	2597.894379	0	0	0	0	0	0	0	594.951528	0	0	0	0	0	0	0
6_c2_4_3	0	0	0	17745.77225	0	0	0	0	85749.57639	0	0	5382.795182	0	25846.22171	0	0	377.2890522	24059.48051	0	0	2290.666126	2673.79766	0	0
6_c3_3_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.68571788	115.8640111	0	0	0	791.2095282	0	0	3227.898547	5706.086944
6_h2_3_3	0	0	0	0	0	0	0	296.5878916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6_p_2_1	3567.109319	795.8105324	0	941.1288181	0	904.8732523	2535.937166	1640.937587	1221.269378	579.4596603	119.1969922	3993.337562	47.28908838	2849.423272	2407.552506	974.5120075	4346.67509	11426.4473	25.37392564	836.8514282	1941.470588	1631.613759	2665.004773	28973.43281
6_p_3_1	0	156.9669155	74.18817543	103.7214647	0	540.3065986	1239.397258	250.6255042	335.6765625	0	20.37838905	0	130.3519059	0	833.6897556	0	152.9293586	610.0840052	20.37838905	0	33.42025989	368.3176996	2568.382391	189.793104
6_p_4_1	0	0	488.9166724	0	0	5226.642554	214.2422943	1067.784861	1551.212595	0	0	0	0	11478.05829	4371.381169	912.9302427	0	7841.512205	0	6327.571747	0	0	1290.344289	42769.42047
6_p_4_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.96498647	6.192997295	0	0	0	0	0	0
6_p_4_3	0	0	0	0	0	0	0	0	71.34288446	0	0	8647.567731	0	0	0	0	0	0	0	0	0	15723.02643	0	0
6_p_4_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.16411307	0	0	0	0	0	0
6_p_4_5	0	0	167.8408379	359.8623315	36.66751124	0	56.70733335	0	228.0145793	0	0	10242.02005	4363.165613	14738.29923	4851.570439	2290.960485	809.9026335	4604.51343	0	22114.21999	204.3529408	7215.151518	23580.03274	32399.77122
6_z_4_5	0	0	0	0	0	0	0	0	0	0	0	6750.934766	1902.20872	0	0	0	0	4.418213968	0	0	1396.321711	8640.462343	0	0
